id;first_name;last_name;birthday;personal_phone;email;last_pay_date
1;Nick;Barban;null;0981234567;nbarban@localhost;2018-12-04
2;Cate;Barban;null;0981234567;cbarban@localhost;2018-12-14
3;Vlad;Gorkov;null;0981234567;vgorkov@localhost;2018-12-24
4;Sasha;Esenin;null;0981234567;sesenin@localhost;null
5;Misha;Bulgakov;null;0981234567;mbulgakov@localhost;null
6;Sergey;Vaisman;null;0981234567;svaisman@localhost;null
7;Artem;Petrov;null;0981234567;apetrov@localhost;null
8;Arnold;Sidorov;null;0981234567;asidorov@localhost;null
9;Stanislav;Klaypeda;null;0981234567;sklaypeda@localhost;null
10;Igor;Vetrov;null;0981234567;ivetrov@localhost;null
